"","cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers"
"975","President Camembert","https://www.cheese.com/president-camembert/","cow","United States","New York","Camembert","semi-soft, soft-ripened",NA,NA,"creamy, firm, soft","bloomy","cream","creamy, earthy","rich",NA,NA,NA,NA,"President Cheese"
"976","President Fat Free Feta","https://www.cheese.com/president-fat-free-feta/","cow","France, United States","New York","Feta","firm, artisan, brined","0 g/100g","30 mg/100g","crumbly","natural","white","herbaceous, salty, tangy","fresh",NA,NA,"Fat Free Feta Crumbles, Fat Free Feta Chunk",NA,"President Cheese"
"977","President Light Brie","https://www.cheese.com/president-light-brie/","cow","France","New York","Brie","soft, soft-ripened",NA,NA,"creamy, runny, smooth","bloomy","white","creamy, mild, nutty, tangy","strong",NA,NA,NA,NA,"President Cheese"
"978","President Madrigal","https://www.cheese.com/president-madrigal/","cow","France",NA,"Swiss Cheese","semi-hard, artisan",NA,NA,"smooth, soft","natural","straw","nutty, sweet",NA,NA,NA,NA,NA,"President Cheese"
"979","Prima Donna","https://www.cheese.com/prima-donna/","cow","Netherlands",NA,"Parmesan","hard",NA,NA,"crumbly, crystalline, firm, grainy","natural","yellow","full-flavored, nutty, sweet",NA,NA,NA,NA,NA,"Vandersterre Groep International B.V."
"980","Prima Donna fino","https://www.cheese.com/prima-donna-fino/","cow","Netherlands",NA,"Parmesan","hard","30.5 g/100g","921 mg/100g","crumbly, crystalline, firm","natural","pale yellow","full-flavored, nutty, sweet","rich",NA,NA,NA,NA,"Vandersterre Groep International B.V."
"981","Prima Donna forte","https://www.cheese.com/prima-donna-forte/","","Netherlands",NA,"Parmesan","hard","33 g/100g","990 mg/100g","crumbly, crystalline, flaky, grainy","natural","yellow","nutty, strong, sweet",NA,NA,NA,NA,NA,"Vandersterre Groep International B.V."
"982","Prima Donna leggero","https://www.cheese.com/prima-donna-leggero/","cow","Netherlands",NA,"Parmesan","hard","18.3 g/100g","1071 mg/100g","crumbly, crystalline, firm","natural","yellow","savory, sharp",NA,NA,NA,NA,NA,"Vandersterre Groep International B.V."
"983","Prima Donna maturo","https://www.cheese.com/prima-donna-maturo/","cow","Netherlands",NA,"Parmesan","hard","32.3 g/100g","749 mg/100g","crumbly, crystalline, firm, grainy","natural","yellow","sharp",NA,NA,NA,NA,NA,"Vandersterre Groep International B.V."
"984","Primo Fresco","https://www.cheese.com/primo-fresco/","sheep","United States","California",NA,"fresh soft, artisan",NA,NA,"creamy, fluffy, spreadable","natural","white","salty, savory, subtle, tangy","fresh, mild",TRUE,FALSE,NA,NA,"Weirauch Farm and Creamery"
"985","Prince-Jean","https://www.cheese.com/prince-jean/","cow","Belgium",NA,NA,"fresh soft, artisan",NA,NA,"creamy","natural","white","buttery","fresh, rich",FALSE,FALSE,NA,NA,NA
"986","Prix de Diane","https://www.cheese.com/prix-de-diane/","cow","United States","Maine","Brie","soft, artisan",NA,NA,"creamy, soft, soft-ripened","bloomy","pale yellow","buttery, citrusy, creamy, subtle","rich",TRUE,FALSE,NA,NA,"Lakin's Gorges Cheese LLC"
"987","Processed Cheddar","https://www.cheese.com/processed-cheddar/","cow","",NA,"Cheddar","semi-hard, processed",NA,NA,"creamy, smooth",NA,NA,"sharp",NA,NA,NA,NA,NA,NA
"988","Processed Cheese","https://www.cheese.com/pasteurized-processed/","cow","",NA,NA,"soft, processed",NA,NA,"creamy, smooth, spreadable, springy","plastic",NA,NA,NA,FALSE,FALSE,"cheese spread, cheese food, singles",NA,"Various"
"989","Processed Smoked Gouda","https://www.cheese.com/processed-smoked-gouda/","cow","United States","Wisconsin","Gouda","semi-hard, processed",NA,NA,"creamy","natural","straw","creamy, mild, smokey","smokey",NA,NA,NA,NA,"Emmi Roth USA"
"990","Promontory","https://www.cheese.com/promontory/","cow","United States","Utah","Cheddar","hard, artisan",NA,NA,"creamy, firm",NA,"pale yellow","buttery, citrusy","fruity, rich",TRUE,FALSE,NA,NA,"Beehive Cheese Company"
"991","Provel","https://www.cheese.com/provel/","cow","United States","St. Louis, Missouri","Cheddar","soft, processed",NA,NA,"buttery, gooey","plastic","white","buttery","smokey",FALSE,FALSE,NA,NA,NA
"992","Providence","https://www.cheese.com/providence/","goat","United States","North Carolina",NA,"semi-soft, artisan",NA,NA,"compact, crumbly","washed","pale yellow","creamy","yeasty",FALSE,FALSE,NA,NA,"Goat Lady Dairy"
"993","Provoleta","https://www.cheese.com/provoleta/","water buffalo","Argentina",NA,"Pasta filata","semi-hard, artisan","45%","316 mg/100g","creamy, smooth, springy",NA,"pale yellow","mild, smokey","fresh",FALSE,FALSE,"Spinning Argentine provolone cheese",NA,NA
"994","Provolone","https://www.cheese.com/provolone/","cow","Italy","Po valley region","Pasta filata","semi-hard, artisan",NA,NA,"firm",NA,"pale yellow","tangy","pleasant",NA,NA,NA,NA,NA
"995","Provolone del Monaco","https://www.cheese.com/provolone-del-monaco/","cow","Italy","Naples","Pasta filata","semi-hard, artisan","40.5%","157 mg/100g","firm, grainy",NA,"pale yellow","buttery, sweet","pleasant",FALSE,FALSE,"Provolone delmonaco",NA,NA
"996","Provolone Mandarino Gran Riserva","https://www.cheese.com/provolone-mandarino-gran-riserva/","cow","Italy","Veneto","Pasta filata","semi-hard, artisan",NA,NA,"elastic, stringy, supple","natural","white","pronounced, spicy, subtle","spicy",FALSE,FALSE,NA,NA,"La Casearia Carpenedo S.r.l."
"997","Provolone Valpadana","https://www.cheese.com/provolone-valpadana/","cow","Italy","Valpadana","Pasta filata","semi-hard, artisan",NA,NA,"firm",NA,"pale yellow","full-flavored","rich",FALSE,FALSE,NA,NA,NA
"998","Président Fresh Goat Cheese","https://www.cheese.com/president-fresh-goat-cheese/","goat","France","Poitou-Charentes",NA,"fresh firm, artisan",NA,NA,"dense, smooth","natural","white","herbaceous, mild, sharp, smooth, tangy","fresh, goaty",NA,NA,"Président plain goat log, Président herb goat log",NA,"President Cheese"
"999","PsycheDillic","https://www.cheese.com/psychedillic/","goat","United States","California",NA,"fresh soft",NA,NA,"creamy, smooth, spreadable","rindless","white","creamy, full-flavored, herbaceous","aromatic",TRUE,FALSE,NA,NA,"Cypress Grove Chevre"
"1000","Pule","https://www.cheese.com/pule/","donkey","Serbia","Zasavica",NA,"artisan",NA,NA,"crumbly",NA,"white",NA,NA,NA,NA,"magareći sir",NA,NA
"1001","Purple Haze","https://www.cheese.com/purple-haze/","goat","United States","California",NA,"fresh soft",NA,NA,"creamy, crumbly, smooth, spreadable","rindless","white","earthy, herbaceous","aromatic",TRUE,FALSE,NA,NA,"Cypress Grove Chevre"
"1002","Purple's a Must","https://www.cheese.com/purples-must/","cow, goat","Canada, Italy","Lombardy","Blue","semi-hard, artisan, blue-veined",NA,NA,"creamy, crumbly","mold ripened","pale yellow","full-flavored, strong","rich",NA,NA,NA,NA,"Fifth Town Artisan Cheese"
"1003","Pyengana Cheddar","https://www.cheese.com/pyengana-cheddar/","cow","Australia","Tasmania","Cheddar","hard, semi-hard, artisan",NA,NA,"creamy, crumbly, smooth","natural","pale yellow","acidic, full-flavored, herbaceous, savory, spicy","grassy, herbal",FALSE,FALSE,NA,NA,"Pyengana Dairy Company"
"1004","Pyramide","https://www.cheese.com/pyramide/","goat","France","Loire Valley",NA,"soft, artisan",NA,NA,"crumbly","natural","ivory",NA,"pungent",FALSE,FALSE,NA,NA,NA
"1005","Pérail de Brebis","https://www.cheese.com/perail-de-brebis/","sheep","France",NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,"pale yellow","full-flavored, strong","goaty",NA,NA,"Perail, Pérail",NA,NA
"1006","Saaland Pfarr","https://www.cheese.com/saaland-pfarr/","cow","Sweden",NA,NA,"semi-soft","45-50%",NA,"creamy",NA,"yellow","salty, spicy, strong","aromatic, rich",FALSE,FALSE,"VODCheese",NA,"Norrmejerier"
"1007","Saanen Silk","https://www.cheese.com/saanen-silk/","goat","Canada","Ontario",NA,"semi-soft, artisan, soft-ripened",NA,NA,"creamy, fluffy, runny, soft-ripened","bloomy","white","mild, mushroomy","floral, pleasant",FALSE,FALSE,NA,NA,"Cross Wind Farm"
"1008","Saanenkaese","https://www.cheese.com/saanenkaese/","cow","Switzerland",NA,"Parmesan","hard, processed",NA,NA,"brittle, firm","natural","pale yellow","fruity","strong",FALSE,FALSE,NA,NA,NA
"1009","Saga","https://www.cheese.com/saga/","cow","Denmark",NA,"Brie","soft, blue-veined, soft-ripened",NA,NA,"creamy","bloomy","white","creamy, mild","mild",FALSE,FALSE,"Saga Classic Blue Brie, Saga Blue Brie",NA,NA
"1010","Sage Derby","https://www.cheese.com/sage-derby/","cow","England, United Kingdom","East Midlands",NA,"semi-hard, artisan","45%",NA,"firm",NA,"green","herbaceous, mild","herbal",TRUE,FALSE,NA,NA,NA
"1011","Saint Agur","https://www.cheese.com/saint-agur/","cow","France","Auvergne","Blue","soft, blue-veined","60%",NA,"creamy, smooth, spreadable",NA,"blue","fruity, mellow, sharp","strong",FALSE,FALSE,NA,"Saint Agur Coupe, Saint Agur Crème","Savencia Fromage & Dairy"
"1012","Saint Albray","https://www.cheese.com/saint-albray/","cow","France","Aquitaine",NA,"semi-soft",NA,NA,"creamy, smooth","washed",NA,"mild, sweet","buttery, mild",NA,NA,NA,"St. Albray, Saint-Albray, St Albray",NA
"1013","Saint André","https://www.cheese.com/saint-andre/","cow","France",NA,"Brie","soft, soft-ripened",NA,NA,"creamy, dense","bloomy","ivory","buttery, tangy","rich",NA,NA,NA,"St. Andre, Saint Andre, St André",NA
"1014","Saint Felicien","https://www.cheese.com/saint-felicien/","cow","France",NA,NA,"soft, artisan",NA,NA,"creamy",NA,"white","creamy","nutty",NA,NA,"Saint Félicien","St Felicien",NA
"1015","Saint Honoré","https://www.cheese.com/saint-honore/","cow","Canada","Quebec","Brie","soft, soft-ripened",NA,NA,"creamy, smooth, soft, soft-ripened, supple","bloomy","cream","creamy, mild","mild",NA,NA,NA,"Saint-Honoré, St Honoré, St. Honoré","La Maison Alexis de Portneuf Inc."
"1016","Saint Marcellin","https://www.cheese.com/saint-marcellin/","cow","France",NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,"white","mild, tangy",NA,FALSE,FALSE,NA,"St Marcellin, Saint-Marcellin",NA
"1017","Saint Nectaire","https://www.cheese.com/saint-nectaire/","cow","France","Auvergne","Tomme","semi-soft, artisan",NA,NA,"creamy, smooth","washed","ivory","pungent","grassy",FALSE,FALSE,NA,"St. Nectaire, Saint-Nectaire, St Nectaire",NA
"1018","Saint Paulin","https://www.cheese.com/saint-paulin/","cow","France",NA,"Saint-Paulin","semi-soft, artisan",NA,NA,"creamy, firm","washed",NA,"buttery, sweet","milky",NA,NA,NA,"Saint-Paulin","Fromagerie Fritz Kaiser"
"1019","Saint Rose","https://www.cheese.com/saint-rose/","sheep","United States","California",NA,"semi-soft, artisan",NA,NA,"firm","natural","pale yellow","citrusy, floral, nutty, sharp","grassy, mild",TRUE,FALSE,NA,"St. Rose","Weirauch Farm and Creamery"
"1020","Sainte-Maure de Touraine AOC","https://www.cheese.com/sainte-maure-de-touraine-aoc/","goat","France","Loire",NA,"semi-soft, artisan",NA,NA,"creamy, fluffy, soft",NA,"white",NA,NA,FALSE,FALSE,NA,"Saint ​​Maure de Touraine, St ​​Maure de Touraine, Sainte Maure de Touraine",NA
"1021","Salemville Amish Blue","https://www.cheese.com/salemville-amish-blue/","cow","United States","Wisconsin","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly",NA,"ivory","creamy, earthy","earthy, rich",NA,NA,"Salemville Reserve",NA,"DCI Cheese Company, Inc"
"1022","Salemville Amish Gorgonzola","https://www.cheese.com/salemville-amish-gorgonzola/","cow","United States","Wisconsin","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly",NA,"ivory","creamy, earthy, piquant","earthy, rich",NA,NA,NA,NA,"DCI Cheese Company, Inc"
"1023","Salemville Smokehaus Blue","https://www.cheese.com/salemville-smokehaus-blue/","cow","United States","Wisconsin","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy",NA,"ivory","creamy, smokey","earthy, rich, smokey",NA,NA,NA,NA,"DCI Cheese Company, Inc"
"1024","Salers","https://www.cheese.com/salers/","cow","France","Auvergne, Salers",NA,"semi-hard",NA,NA,"",NA,"red","fruity, spicy",NA,FALSE,FALSE,NA,NA,NA
"1025","Salsa Asiago","https://www.cheese.com/salsa-asiago/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"compact, firm, open, smooth","natural","pale yellow","creamy, garlicky, nutty, sharp, spicy","aromatic, nutty, pungent",TRUE,FALSE,NA,NA,"Sartori"
"1026","Saltbush Chevre","https://www.cheese.com/saltbush_chevre/","goat","Australia","South Australia",NA,"fresh firm, artisan","45%",NA,"creamy","rindless","white","acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE,NA,NA,"Woodside Cheese Wrights"
"1027","Samso","https://www.cheese.com/samso/","cow","Denmark",NA,NA,"semi-hard","30-45%",NA,"supple","waxed","yellow","nutty, sour, sweet",NA,FALSE,FALSE,NA,NA,NA
"1028","San Andreas","https://www.cheese.com/san-andreas/","sheep","United States","California",NA,"hard, artisan",NA,NA,"creamy, firm, open, smooth","natural","straw","butterscotch, nutty, sweet","clean, mild, rich",TRUE,FALSE,NA,NA,"Bellwether Farms"
"1029","San Geronimo","https://www.cheese.com/san-geronimo/","cow","United States","Nicasio",NA,"semi-soft, brined",NA,NA,"smooth","washed","white","acidic, meaty, mellow, mild, tangy, tart","earthy",FALSE,FALSE,NA,NA,"Nicasio Valley Cheese Company"
"1030","San Simón DOP","https://www.cheese.com/san-simon/","cow","Spain","Galicia",NA,"semi-soft",NA,NA,"buttery, creamy","natural","cream","buttery","smokey, woody",FALSE,FALSE,NA,NA,NA
"1031","Sancerre","https://www.cheese.com/sancerre/","goat","France",NA,NA,"hard","40%",NA,"","natural",NA,"nutty, strong",NA,FALSE,FALSE,NA,NA,NA
"1032","Sandy Creek","https://www.cheese.com/sandy-creek/","goat","United States","North Carolina",NA,"soft, soft-ripened",NA,NA,"runny, smooth","mold ripened","ivory","citrusy, lemony, mushroomy, tangy","earthy, grassy",TRUE,FALSE,NA,NA,"Goat Lady Dairy"
"1033","Santa Gadea","https://www.cheese.com/santa-gadea/","goat","Spain",NA,NA,"soft, semi-soft",NA,NA,"creamy, smooth, soft",NA,"white",NA,NA,NA,NA,NA,NA,NA
"1034","Sao Jorge","https://www.cheese.com/sao-jorge/","cow","Portugal","Azores",NA,"semi-hard",NA,NA,"chalky, crumbly, firm","natural","golden yellow","spicy, tangy",NA,FALSE,FALSE,"S. Jorge cheese, Queijo São Jorge, St. George",NA,NA
"1035","Sap Sago","https://www.cheese.com/sap-sago/","cow","Switzerland","Canton of Glarus",NA,"hard",NA,NA,"dry","natural","green",NA,"herbal",NA,NA,"Schabziger, Swiss Green Cheese","sapsago",NA
"1036","Saporito","https://www.cheese.com/saporito/","cow","Italy","Treviso, Veneto",NA,"semi-hard, artisan",NA,NA,"creamy","natural","ivory","creamy, mild","herbal",NA,NA,NA,NA,"Moro Latteria di Moro Sergio"
"1037","Sardo","https://www.cheese.com/sardo/","cow","Argentina",NA,NA,"hard",NA,NA,"crumbly, firm, flaky","natural","pale yellow","full-flavored, salty, sharp",NA,FALSE,FALSE,NA,"Argentine Sardo, Sardo Argentino",NA
"1038","Sarró de Cabra","https://www.cheese.com/sarro-de-cabra/","goat","Spain","Barcelona",NA,"semi-soft, artisan",NA,NA,"buttery","cloth wrapped","white","citrusy, strong, tangy","mild, sweet",NA,NA,"Sarro",NA,"Formatgeries Montbrú"
"1039","Sartori Classic Cheese Asiago","https://www.cheese.com/sartori-classic-cheese-asiago/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"compact, crumbly, open, smooth","natural",NA,"creamy, mild, nutty","pungent",TRUE,FALSE,NA,NA,"Sartori"
"1040","Sartori Classic Cheese Fontina","https://www.cheese.com/sartori-classic-cheese-fontina/","cow","United States","Wisconsin",NA,"semi-soft, artisan",NA,NA,"creamy","natural","pale yellow","creamy, nutty, smooth, sweet","aromatic, lactic",TRUE,FALSE,NA,NA,"Sartori"
"1041","Sartori Classic Cheese Parmesan","https://www.cheese.com/sartori-classic-cheese-parmesan/","cow","United States","Wisconsin","Parmesan","hard, artisan",NA,NA,"crumbly, dry, grainy","natural","yellow","mellow, nutty, sweet",NA,TRUE,FALSE,NA,NA,"Sartori"
"1042","Sartori Classic Cheese Romano","https://www.cheese.com/sartori-classic-cheese-romano/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"brittle, crumbly, dense, flaky","natural","straw","nutty, savory, tangy","spicy",TRUE,FALSE,NA,NA,"Sartori"
"1043","Sartori Classic MontAmore","https://www.cheese.com/sartori-classic-montamore/","cow","United States","Wisconsin","Parmesan","semi-hard, artisan",NA,NA,"dense, firm","rindless","pale yellow","creamy, fruity, sweet, tangy","fresh, fruity, pleasant",TRUE,FALSE,NA,NA,"Sartori"
"1044","Sartori Limited Edition Cannella BellaVitano","https://www.cheese.com/sartori-limited-edition-cannella-bellavitano/","cow","United States","Wisconsin",NA,"hard",NA,NA,"creamy",NA,"pale yellow","buttery, fruity, mild, sweet","fresh, rich",TRUE,FALSE,NA,NA,"Sartori"
"1045","Sartori Limited Edition Cognac BellaVitano","https://www.cheese.com/sartori-limited-edition-cognac-bellavitano/","cow","United States","Northern Wisconsin",NA,"hard",NA,NA,"creamy",NA,NA,"buttery, mild, smokey , sweet","nutty, smokey",TRUE,FALSE,NA,NA,"Sartori"
"1046","Sartori Limited Edition Extra-Aged Goat","https://www.cheese.com/sartori-limited-edition-extra-aged-goat/","goat","United States","Wisconsin",NA,"semi-firm, artisan",NA,NA,"creamy",NA,NA,"mild, savory","mild, pleasant",NA,NA,NA,NA,"Sartori"
"1047","Sartori Limited Edition Family Heirloom BellaVitano","https://www.cheese.com/sartori-limited-edition-family-heirloom-bellavitano/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"crumbly, dry","natural","pale yellow","full-flavored, strong, sweet","fermented, grassy, rich",TRUE,FALSE,NA,NA,"Sartori"
"1048","Sartori Limited Edition Family Heirloom Parmesan","https://www.cheese.com/sartori-limited-edition-family-heirloom-parmesan/","cow","United States","Wisconsin","Parmesan","hard, artisan",NA,NA,"crumbly, flaky, grainy","natural","golden yellow","caramel, fruity, nutty, piquant, sweet","buttery, nutty, woody",TRUE,FALSE,NA,NA,"Sartori"
"1049","Sartori Limited Edition Pastorale Blend","https://www.cheese.com/sartori-limited-edition-pastorale-blend/","cow, sheep","United States","Wisconsin",NA,"semi-hard, artisan",NA,NA,"creamy","natural","pale yellow","nutty, sweet","earthy, nutty, sweet",NA,NA,NA,NA,"Sartori"
"1050","Sartori Reserve Balsamic BellaVitano","https://www.cheese.com/sartori-reserve-balsamic-bellavitano/","cow","United States","Wisconsin",NA,"hard",NA,NA,"firm",NA,NA,"fruity, nutty, sweet, tangy","earthy, fruity, sweet",NA,NA,NA,NA,"Sartori"
"1051","Sartori Reserve Basil & Olive Oil Asiago","https://www.cheese.com/sartori-reserve-basil-olive-oil-asiago/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"",NA,"pale yellow","herbaceous, savory, sweet","herbal, rich",NA,NA,NA,NA,"Sartori"
"1052","Sartori Reserve BellaVitano Gold","https://www.cheese.com/sartori-reserve-bellavitano-gold/","cow","United States","Wisconsin",NA,"hard",NA,NA,"creamy","natural","pale yellow","fruity, nutty, sweet","fruity, nutty, rich",NA,NA,NA,NA,"Sartori"
"1053","Sartori Reserve Black Pepper BellaVitano","https://www.cheese.com/sartori-reserve-black-pepper-bellavitano/","cow","United States","Wisconsin",NA,"semi-hard",NA,NA,"creamy","natural","pale yellow","creamy, nutty, salty, spicy","nutty, rich, spicy",NA,NA,NA,NA,"Sartori"
"1054","Sartori Reserve Chai BellaVitano","https://www.cheese.com/sartori-reserve-chai-bellavitano/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"creamy","natural","pale yellow","creamy, sweet","rich, sweet",NA,NA,NA,NA,"Sartori"
"1055","Sartori Reserve Cheese Mediterranean Fontina","https://www.cheese.com/sartori-reserve-cheese-mediterranean-fontina/","cow","United States","Wisconsin",NA,"semi-soft, artisan",NA,NA,"creamy","natural","cream","garlicky, piquant, spicy, sweet","earthy, herbal",TRUE,FALSE,NA,NA,"Sartori"
"1056","Sartori Reserve Dolcina Gorgonzola","https://www.cheese.com/sartori-reserve-dolcina-gorgonzola/","cow","United States","Wisconsin","Blue","semi-firm, blue-veined",NA,NA,"creamy, soft","natural","ivory","mild, smooth, sweet","rich, spicy",NA,NA,NA,NA,"Sartori"
"1057","Sartori Reserve Espresso BellaVitano","https://www.cheese.com/sartori-reserve-espresso-bellavitano/","cow","United States","Wisconsin",NA,"semi-firm, artisan",NA,NA,"firm","natural","pale yellow","smokey , sweet","smokey, sweet",NA,NA,NA,NA,"Sartori"
"1058","Sartori Reserve Extra Aged Fontina","https://www.cheese.com/sartori-reserve-extra-aged-fontina/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"creamy","natural","yellow","buttery, fruity, mild, tangy","lactic, rich",TRUE,FALSE,NA,NA,"Sartori"
"1059","Sartori Reserve Extra-Aged Asiago","https://www.cheese.com/sartori-reserve-extra-aged-asiago/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"creamy, crumbly",NA,"pale yellow","creamy, nutty","rich",FALSE,FALSE,NA,NA,"Sartori"
"1060","Sartori Reserve Merlot BellaVitano","https://www.cheese.com/sartori-reserve-merlot-bellavitano/","cow","United States","Wisconsin",NA,"semi-hard, artisan",NA,NA,"creamy, crystalline","natural","pale yellow","creamy, fruity","fruity, pleasant, rich",NA,NA,NA,NA,"Sartori"
"1061","Sartori Reserve Raspberry BellaVitano","https://www.cheese.com/sartori-reserve-raspberry-bellavitano/","cow","United States","Wisconsin","Cheddar","hard, artisan",NA,NA,"creamy","natural","pale yellow","buttery, creamy, fruity, nutty, sweet","fruity, nutty, rich",TRUE,FALSE,NA,NA,"Sartori"
"1062","Sartori Reserve Rosemary & Olive Oil Asiago","https://www.cheese.com/sartori-reserve-rosemary-olive-oil-asiago/","cow","United States","Wisconsin",NA,"hard, artisan",NA,NA,"",NA,"pale yellow","fruity, nutty","fruity, nutty, rich",NA,NA,NA,NA,"Sartori"
"1063","Sartori Reserve SarVecchio Parmesan","https://www.cheese.com/sartori-reserve-sarvecchio-parmesan/","cow","United States","Wisconsin","Parmesan","hard, artisan",NA,NA,"crumbly, crystalline, dry, flaky, grainy","natural","yellow","caramel, fruity, nutty","fruity, sweet",TRUE,FALSE,NA,NA,"Sartori"
"1064","Sbrinz","https://www.cheese.com/sbrinz/","cow","Switzerland","Lucerne, Schwyz, Unterwald, and Zoug, and the following additional places: Muri district in d'Argovi","Swiss Cheese","hard, artisan","45%",NA,"dense, flaky","natural","yellow","butterscotch, full-flavored, nutty, spicy, strong","aromatic, spicy",FALSE,FALSE,NA,NA,NA
"1065","Sbronzo","https://www.cheese.com/sbronzo/","water buffalo","Italy","Campania",NA,"semi-soft, artisan",NA,NA,"creamy, dense","natural","ivory","buttery, creamy, fruity, sweet","fruity",NA,NA,NA,NA,"Casa Madaio"
"1066","Scallion Onion Cheddar","https://www.cheese.com/scallion-onion-cheddar/","cow","United States","NY","Cheddar","semi-hard, artisan",NA,NA,"crumbly","natural","pale yellow","full-flavored, spicy","strong",NA,NA,NA,NA,"Muranda Cheese Company"
"1067","Scamorza","https://www.cheese.com/scamorza/","cow","Italy",NA,"Pasta filata","semi-soft",NA,NA,"elastic, smooth, springy","natural","white",NA,NA,NA,NA,"Smoked Scamorza","Scamorza Affumicata",NA
"1068","Schloss","https://www.cheese.com/schloss/","cow","United States",NA,NA,"semi-soft, brined",NA,NA,"chalky, creamy, smooth","washed","straw","citrusy, earthy, fruity, full-flavored, meaty, pungent","pungent, strong",FALSE,FALSE,NA,NA,"Marin French Cheeese Co."
"1069","Scotch Bonnet Cheddar","https://www.cheese.com/scotch-bonnet-cheddar/","cow","United Kingdom",NA,"Cheddar","hard, processed",NA,NA,"creamy","plastic","pale yellow","creamy, spicy, strong",NA,NA,NA,NA,NA,"Tesco"
"1070","Sea Change","https://www.cheese.com/sea-change/","cow","United States","Lebanon, CT",NA,"semi-soft, artisan",NA,NA,"elastic, smooth","natural","cream","buttery, mild, milky","fruity, lactic, yeasty",NA,NA,NA,NA,"The Mystic Cheese Company"
"1071","Seahive","https://www.cheese.com/seahive/","cow","United States","Utah","Cheddar","hard, artisan",NA,NA,"dry, firm","natural","pale yellow","salty, sweet","floral",TRUE,FALSE,NA,NA,"Beehive Cheese Company"
"1072","Seascape","https://www.cheese.com/seascape/","cow, goat","United States","California",NA,"semi-hard, artisan","8 g/100g",NA,"crumbly, smooth","natural","pale yellow","buttery, caramel, tangy","pleasant",TRUE,FALSE,NA,NA,"Central Coast Creamery"
"1073","Seastack","https://www.cheese.com/seastack/","cow","United States","Port Townsend",NA,"soft, soft-ripened",NA,NA,"creamy, firm, runny, soft","ash coated","white","citrusy, earthy, garlicky, tangy","fresh, milky",FALSE,FALSE,NA,NA,"Mt. Townsend Creamery"
"1074","Seator's Orkney","https://www.cheese.com/seators-orkney/","cow","Great Britain, Scotland, United Kingdom","Orkney Islands",NA,"hard, artisan",NA,NA,"crumbly",NA,"cream","acidic","lactic",NA,NA,NA,NA,"Grimbister Farm"
"1075","Selles sur Cher","https://www.cheese.com/selles-sur-cher/","goat","France",NA,NA,"soft",NA,NA,"firm","ash coated",NA,"tangy","lactic, nutty",NA,NA,NA,NA,NA
"1076","Selva","https://www.cheese.com/selva/","cow","Spain","Fornells de la Selva, Gironès",NA,"soft, artisan","45%",NA,"smooth, supple","natural","pale yellow","bitter, buttery, salty","pleasant",FALSE,FALSE,NA,"Queso De La Selva",NA
"1077","Serat","https://www.cheese.com/serat/","sheep","Afghanistan",NA,NA,"hard",NA,NA,"",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"1078","Seriously Strong Cheddar","https://www.cheese.com/seriously-strong-cheddar/","cow","England, Scotland, United Kingdom","Stranraer","Cheddar","hard","34.4%","740 mg/100g","crumbly, dense, firm, flaky","natural","yellow","full-flavored, savory, smokey , spicy, tangy","rich, smokey, strong",FALSE,FALSE,NA,"Seriously Strong Spreadable, Seriously Strong Vintage Cheddar, Seriously Strong Grated Cheddar","Lactalis McLelland Ltd"
"1079","Serra da Estrela DOP","https://www.cheese.com/serra-da-estrela-dop/","sheep","Portugal","Serra da Estrela",NA,"semi-soft",NA,NA,"",NA,"ivory",NA,"pungent",FALSE,FALSE,"Serra da Estrela, Queijo Serra da Estrela",NA,NA
"1080","Sgt. Pepper","https://www.cheese.com/sgt-pepper/","goat","United States","California",NA,"fresh soft",NA,NA,"creamy, smooth, spreadable","rindless","white","full-flavored, spicy","fresh, spicy",TRUE,FALSE,NA,NA,"Cypress Grove Chevre"
"1081","Shaker Blue","https://www.cheese.com/shaker-blue/","sheep","United States","New York","Blue","semi-firm, blue-veined",NA,NA,"creamy","rindless","ivory","acidic, creamy, full-flavored, sweet","rich, sweet",TRUE,FALSE,"Shaker Blue",NA,"Old Chatham Sheepherding Company"
"1082","Shamembert","https://www.cheese.com/vegan-shamembert/","plant-based","United Kingdom",NA,NA,"soft",NA,NA,"soft, soft-ripened","mold ripened","white","earthy, full-flavored, mushroomy, savory, strong","earthy",TRUE,TRUE,NA,NA,"Honestly Tasty"
